epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4218.44,0.65842,0.30736,0.77182,0.95323,0.75842,0.83136,0.59301,0.76754,0.36084,0.78303,0.000198125,0.000198125,0.000198125
87,4267.37,0.64047,0.30305,0.77406,0.93176,0.75179,0.82284,0.60046,0.77492,0.36112,0.78266,0.00018575,0.00018575,0.00018575
88,4319.01,0.65919,0.30889,0.77275,0.95649,0.75224,0.83441,0.59452,0.7589,0.3634,0.7817,0.000173375,0.000173375,0.000173375
89,4372.39,0.64323,0.3064,0.77179,0.95536,0.73391,0.82659,0.59072,0.76183,0.36747,0.78193,0.000161,0.000161,0.000161
90,4420.85,0.65094,0.3027,0.77381,0.9775,0.72271,0.83409,0.59654,0.75834,0.36458,0.78088,0.000148625,0.000148625,0.000148625
91,4487.41,0.6262,0.29851,0.77235,0.9362,0.75138,0.8399,0.59783,0.76395,0.36428,0.78109,0.00013625,0.00013625,0.00013625
92,4535.24,0.61136,0.29528,0.77197,0.93259,0.73832,0.82859,0.59092,0.7717,0.37164,0.78223,0.000123875,0.000123875,0.000123875
93,4584.26,0.60114,0.29289,0.77074,0.92775,0.75364,0.83257,0.59677,0.77032,0.36143,0.78212,0.0001115,0.0001115,0.0001115
94,4632.14,0.60386,0.29268,0.77069,0.88229,0.76251,0.8266,0.58566,0.77337,0.3664,0.78238,9.9125e-05,9.9125e-05,9.9125e-05
95,4680.16,0.59232,0.28944,0.77109,0.94233,0.7523,0.82991,0.58634,0.76351,0.36288,0.78186,8.675e-05,8.675e-05,8.675e-05
96,4728,0.59528,0.28661,0.77,0.97072,0.73163,0.82974,0.59544,0.75943,0.36663,0.78224,7.4375e-05,7.4375e-05,7.4375e-05
97,4776.49,0.57836,0.2831,0.77008,0.91333,0.75174,0.83188,0.58973,0.76045,0.36674,0.78212,6.2e-05,6.2e-05,6.2e-05
98,4824.2,0.5832,0.28156,0.77087,0.95292,0.74536,0.8328,0.59377,0.76421,0.36772,0.78199,4.9625e-05,4.9625e-05,4.9625e-05
99,4872.34,0.57293,0.28007,0.76919,0.92344,0.76053,0.83793,0.59167,0.76087,0.36706,0.7817,3.725e-05,3.725e-05,3.725e-05
100,4920.77,0.57347,0.27813,0.77124,0.89848,0.75671,0.83797,0.59658,0.76042,0.3666,0.78136,2.4875e-05,2.4875e-05,2.4875e-05
